student_id,location,tablet_access,bandwidth_category,school_resource_level,teacher_qual
1,Urban,1,3,3,0.7684653837161213
2,Rural,0,1,1,0.5070154389918281
3,Peri-urban,0,2,2,0.6832839540256948
4,Urban,1,3,3,0.836546771705079
5,Urban,1,3,3,0.7828462034629301
6,Urban,0,3,3,0.8600314830489861
7,Urban,1,3,3,0.7433270180474771
8,Rural,0,1,1,0.453828765762213
9,Peri-urban,1,2,2,0.6463986768710022
10,Peri-urban,1,2,2,0.592432713267536
11,Urban,0,3,3,0.8569593156675387
12,Rural,0,1,1,0.37763894352680755
13,Peri-urban,1,2,1,0.5367457200950883
14,Urban,1,3,3,0.8488982506499961
15,Urban,1,3,3,0.7957378535430271
16,Urban,1,3,3,0.8300890301649334
17,Urban,1,3,3,0.8910443295779704
18,Urban,1,3,3,0.7638872963801852
19,Urban,1,3,3,0.7928310247580013
20,Urban,1,3,2,0.8784817252288858
21,Peri-urban,0,2,2,0.6334365865427641
22,Urban,1,3,3,0.7650108627897703
23,Urban,0,3,3,0.7522491148230261
24,Urban,1,3,3,0.7735959679948328
25,Urban,1,3,3,0.7630792647598561
26,Peri-urban,0,2,2,0.6118674059744765
27,Urban,0,3,2,0.80392172535988
28,Urban,0,3,2,0.8139618877137677
29,Urban,1,3,2,0.7579593599220109
30,Urban,1,3,2,0.7964583046237372
31,Peri-urban,0,2,2,0.49721501130218915
32,Urban,0,3,2,0.8072503158680684
33,Urban,0,3,3,0.8587720322477933
34,Rural,1,1,1,0.328762704532691
35,Rural,0,1,1,0.4241714115323731
36,Peri-urban,0,2,3,0.5694492824119718
37,Urban,0,3,3,0.8401250576846685
38,Urban,1,3,2,0.807932372560614
39,Peri-urban,1,2,3,0.620235205633022
40,Urban,1,3,2,0.803241194937772
41,Urban,0,3,2,0.8664165903192177
42,Urban,1,3,3,0.8173705238847552
43,Urban,1,3,3,0.7647288142998775
44,Rural,0,1,1,0.4049357526160502
45,Urban,1,3,2,0.7815559478516976
46,Peri-urban,1,2,3,0.6081199953259795
47,Urban,1,3,3,0.7790115143816594
48,Urban,1,3,2,0.7661594632226844
49,Urban,1,3,3,0.8099636106374224
50,Urban,0,3,3,0.8027894814308277
51,Rural,1,1,1,0.4531977922522924
52,Peri-urban,0,2,2,0.5792522060433594
53,Rural,1,1,1,0.30095730762523465
54,Rural,0,1,1,0.3818064600768344
55,Urban,1,3,3,0.7186784620541712
56,Rural,0,1,2,0.42078359870482884
57,Urban,1,3,2,0.7163051035825607
58,Urban,1,3,2,0.750581446879295
59,Urban,1,3,3,0.7818832770862569
60,Urban,1,3,3,0.8771975302380572
61,Urban,1,3,3,0.7463554942142542
62,Urban,1,3,3,0.8006202491573293
