student_id,multimedia_engagement,performance_gain,prior_achievement,consistency,early_struggle,skill_coverage,session_duration_avg,total_interactions,peer_collaboration,location,tablet_access,bandwidth_category,school_resource_level,teacher_qual,peer_activity_index,content_modality_preference,cate,achievement_q
u100013,0.26,-0.1580882352941176,0.6875,1.0,0.3125,50,16.0199,50,0.0333333333333333,urban,0,1,1,0,0.6820066334991708,0.4944725879278468,0.015205480607991336,Q4-High
u10011,0.2470433639947437,0.0484111916840434,0.7035573122529645,0.7391304347826086,0.2964426877470355,761,26.82384888304862,761,0.5666666666666667,peri-urban,2,2,2,2,0.9737592698231603,0.3751527747114991,0.08412785819935652,Q4-High
u10017,0.2777777777777778,0.1666666666666667,0.6666666666666666,1.0,0.3333333333333333,18,25.77777777777778,18,0.0333333333333333,rural,1,1,2,1,0.2715580597746203,0.5298115439843974,0.08620275558206175,Q3
u100204,0.2260273972602739,0.09512678971882,0.5617647058823529,1.0,0.438235294117647,940,16.997025440313113,1022,0.3666666666666666,urban,1,3,1,1,0.9813432835820896,0.2363558476234208,0.16720136236290298,Q2
u100212,0.2666666666666666,-0.0999999999999999,0.5,1.0,0.5,30,25.5332,30,0.0333333333333333,urban,1,2,1,3,0.4701492537313433,0.7680577944720322,-0.1704589567855635,Q2
u100303,0.2,0.1999999999999999,0.5,1.0,0.5,30,15.0999,30,0.0333333333333333,urban,0,1,1,2,0.4701492537313433,0.17279156167892437,0.0636332891956044,Q2
u100319,0.23,0.2468805704099821,0.6060606060606061,0.25,0.3939393939393939,99,22.79994,100,0.2333333333333333,peri-urban,1,3,2,2,0.7903593839132915,0.6534810368956206,0.07649019925369119,Q3
u100369,0.2,-0.0999999999999999,0.3,1.0,0.7,30,19.799966666666663,30,0.0333333333333333,rural,2,2,2,2,0.469500244977952,0.2705978714913083,-0.03093014590345042,Q1-Low
u100434,0.2333333333333333,-0.2,0.5,0.2857142857142857,0.5,30,26.499866666666662,30,0.0666666666666666,peri-urban,2,2,2,2,0.45079863091842554,0.3118692875588732,-0.13277965633287733,Q2
u100520,0.2580645161290322,0.0642857142857142,0.65,0.16,0.35,62,20.0643064516129,62,0.1333333333333333,urban,2,1,1,1,0.726575456053068,0.5619785881285826,0.05947054945348896,Q3
u100579,0.2666666666666666,0.1999999999999999,0.5,1.0,0.5,30,28.26643333333333,30,0.0333333333333333,rural,1,2,3,1,0.469500244977952,0.7246439626373053,-0.12357119664129398,Q2
u100645,0.2276923076923077,-0.0723246287762416,0.6944444444444444,0.9285714285714286,0.3055555555555556,547,21.53538,650,0.8666666666666667,rural,1,2,2,3,0.9644781969622734,0.1360938788360612,0.46268854552382344,Q4-High
u100665,0.2510548523206751,0.0506329113924051,0.6582278481012658,0.6333333333333333,0.3417721518987342,436,31.6835358649789,474,0.6333333333333333,rural,0,2,1,1,0.9476972072513474,0.4876026827640238,-0.03595499947164361,Q3
u100675,0.12,0.0955882352941176,0.375,1.0,0.625,50,22.23994,50,0.0333333333333333,rural,2,1,2,3,0.6888780009799118,0.40838358575698863,-0.14144626995581752,Q1-Low
u100733,0.2666666666666666,0.0,0.8,1.0,0.1999999999999999,30,24.46653333333333,30,0.0333333333333333,rural,2,1,3,2,0.469500244977952,0.19215809699627076,0.3482568059987561,Q4-High
u100735,0.2666666666666666,0.3,0.3,1.0,0.7,30,32.099866666666664,30,0.0333333333333333,rural,1,2,1,1,0.469500244977952,0.5041691951652935,-0.22182426419179355,Q1-Low
u100776,0.3,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,10,23.8999,10,0.0666666666666666,urban,1,1,2,1,0.03565505804311774,0.197928577627594,0.10558632540678908,Q3
u100810,0.2666666666666666,0.3999999999999999,0.2,1.0,0.8,30,24.099866666666664,30,0.0333333333333333,rural,0,2,2,1,0.469500244977952,0.42946368034554616,0.05407894518781682,Q1-Low
u100821,0.2333333333333333,0.0,0.4,1.0,0.6,30,34.766533333333335,30,0.0333333333333333,urban,0,1,1,2,0.4701492537313433,0.26755326436227744,-0.21448076483871406,Q1-Low
u100836,0.2333333333333333,0.3999999999999999,0.3,1.0,0.7,30,34.866566666666664,30,0.0333333333333333,peri-urban,1,2,1,0,0.45079863091842554,0.3207521505549691,-0.16379411608444983,Q1-Low
u1009,0.248,-0.0871080139372822,0.6585365853658537,1.0,0.3414634146341463,121,21.191944,125,0.1666666666666666,peri-urban,0,2,2,1,0.8174557900741586,0.34709726437150484,0.33624737461373594,Q3
u10090,0.2456140350877192,0.1052631578947368,0.5789473684210527,0.1428571428571428,0.4210526315789473,57,20.98245614035088,57,0.1333333333333333,peri-urban,1,1,1,1,0.6948088990302339,0.5551254835297625,0.018919642385586154,Q3
u100910,0.2666666666666666,-0.3,0.4,1.0,0.6,30,21.0998,30,0.0333333333333333,urban,0,3,1,2,0.4701492537313433,0.20926312756556567,-0.061965604862568635,Q1-Low
u100947,0.2666666666666666,0.4,0.1,1.0,0.9,30,40.56646666666667,30,0.0333333333333333,peri-urban,0,2,1,1,0.45079863091842554,0.4466059122572963,0.003250007263638905,Q1-Low
u101025,0.2666666666666666,-0.5,0.8,1.0,0.1999999999999999,30,16.699733333333334,30,0.0333333333333333,urban,0,1,1,2,0.4701492537313433,0.2981214233362209,0.1331316636952605,Q4-High
u101055,0.2666666666666666,-0.0999999999999999,0.7,1.0,0.3,30,21.33333333333333,30,0.0333333333333333,rural,0,2,1,1,0.469500244977952,0.2997950109100793,0.28309239726159585,Q4-High
u101059,0.2333333333333333,-0.3999999999999999,0.7,1.0,0.3,30,22.4334,30,0.0333333333333333,peri-urban,1,1,1,1,0.45079863091842554,0.492912948873501,0.2995904201589236,Q4-High
u101112,0.2423076923076923,-0.0082865543972199,0.7209302325581395,0.2857142857142857,0.2790697674418605,250,19.93461923076923,260,0.2666666666666666,rural,0,2,2,1,0.9075208231259186,0.2815060240910244,0.31724735251336855,Q4-High
u101172,0.3,0.25,0.0,1.0,1.0,10,6.7999,10,0.0333333333333333,urban,1,2,2,2,0.03565505804311774,0.29685330414082756,-0.18963425451306312,Q1-Low
u101245,0.2333333333333333,0.0,0.7,1.0,0.3,30,25.599966666666667,30,0.0333333333333333,peri-urban,2,1,2,1,0.45079863091842554,0.40017764652283117,0.20454315413516405,Q4-High
u101303,0.2,0.3351648351648352,0.3076923076923077,1.0,0.6923076923076923,40,39.62495,40,0.0333333333333333,rural,0,2,1,3,0.6322880940715335,0.17290454627902885,0.09184952762023682,Q1-Low
u101426,0.2666666666666666,-0.3,0.6,1.0,0.4,30,22.66646666666667,30,0.0333333333333333,urban,1,1,2,2,0.4701492537313433,0.3025117856919123,0.3364299106588014,Q3
u101456,0.2444444444444444,0.0,0.5333333333333333,0.1111111111111111,0.4666666666666667,45,23.377666666666663,45,0.0666666666666666,peri-urban,0,1,2,1,0.6431831146605819,0.442525056783255,-0.08669536788797061,Q2
u101643,0.2424242424242424,0.3636363636363636,0.5151515151515151,0.4285714285714285,0.4848484848484848,99,30.66657575757576,99,0.1,urban,1,1,3,1,0.7987147595356551,0.07544998668702999,0.0008347394477712603,Q2
u101775,0.2333333333333333,-0.3,0.6,1.0,0.4,30,21.666566666666665,30,0.0333333333333333,rural,2,1,1,1,0.469500244977952,0.1616891895186843,0.4524481149128091,Q3
u101780,0.2307692307692307,0.15,0.25,1.0,0.75,13,18.53807692307692,13,0.0333333333333333,urban,1,1,1,0,0.17330016583747926,0.3095909375797926,-0.18190407804183764,Q1-Low
u101828,0.2666666666666666,-0.2,0.8,1.0,0.1999999999999999,30,26.866633333333336,30,0.0333333333333333,urban,2,1,2,1,0.4701492537313433,0.46937168872586077,0.19846230355175715,Q4-High
u101861,0.1333333333333333,0.2999999999999999,0.4,1.0,0.6,30,22.599933333333333,30,0.0333333333333333,rural,0,2,1,0,0.469500244977952,0.8128374326285992,-0.2922447132922405,Q1-Low
u101894,0.2416666666666666,-0.025,0.675,0.25,0.3249999999999999,114,21.51663333333333,120,0.2333333333333333,peri-urban,0,1,1,2,0.8133200228180263,0.27137857554058564,0.38769258517869126,Q3
u102027,0.225,-0.1098901098901098,0.5384615384615384,1.0,0.4615384615384615,40,26.3499,40,0.0333333333333333,rural,1,1,2,0,0.6322880940715335,0.11444968666454716,0.24347873400432415,Q2
u102063,0.2666666666666666,-0.3,0.4,1.0,0.6,30,7.0332,30,0.0333333333333333,rural,1,1,1,2,0.469500244977952,0.10835061329829057,0.021870874850085865,Q1-Low
u102123,0.2333333333333333,0.0,0.6,1.0,0.4,30,22.9332,30,0.0333333333333333,urban,0,2,2,2,0.4701492537313433,0.2801284540673569,0.2721525868778652,Q3
u102144,0.2511627906976744,0.1034820031298904,0.5492957746478874,0.782608695652174,0.4507042253521126,212,45.87439069767442,215,0.6,rural,0,3,2,1,0.8887800097991181,0.7251247646742227,-0.1257604756736777,Q2
u102147,0.1707317073170731,0.1098901098901098,0.4615384615384615,1.0,0.5384615384615384,41,50.41456097560975,41,0.0333333333333333,rural,0,1,1,1,0.6512738853503185,0.1006812023256057,0.046307036129924026,Q2
u102180,0.2307692307692307,-0.0499999999999999,0.25,1.0,0.75,13,23.230538461538465,13,0.0333333333333333,urban,0,2,1,2,0.17330016583747926,0.32753344786832983,-0.2572370828823051,Q1-Low
u102243,0.2,-0.0879120879120879,0.2307692307692307,0.6666666666666666,0.7692307692307692,40,4.016525,40,0.0666666666666666,rural,1,1,2,1,0.6322880940715335,0.4335716694002951,-0.14285158922518768,Q1-Low
u102277,0.2372881355932203,0.1320999675430055,0.5641025641025641,0.6206896551724138,0.4358974358974359,229,17.711788135593217,236,0.6,urban,0,1,1,2,0.8924129353233831,0.23358238496218436,0.19421392288284448,Q2
u102391,0.2666666666666666,0.0,0.4,1.0,0.6,30,5.399733333333334,30,0.0333333333333333,rural,0,2,3,2,0.469500244977952,0.5551886133069682,-0.288941195202784,Q1-Low
u102399,0.1666666666666666,0.2,0.3,1.0,0.7,30,25.899933333333333,30,0.0333333333333333,rural,1,2,1,2,0.469500244977952,0.6065124149754494,-0.3090463577335558,Q1-Low
u102413,0.3,-0.1666666666666666,0.6666666666666666,1.0,0.3333333333333333,10,18.2997,10,0.0333333333333333,peri-urban,2,2,1,0,0.030946948088990303,0.14348046526929162,0.11761898679092901,Q3
u102450,0.2483994878361075,-0.0222516946654878,0.8076923076923077,0.7777777777777778,0.1923076923076923,765,47.48013828425096,781,0.4666666666666667,urban,0,3,2,2,0.9742951907131011,0.48843173482006014,0.06530316870711667,Q4-High
u102522,0.2433936022253129,-0.0018046808501375,0.7306889352818372,1.0,0.2693110647181628,2608,22.09827433936022,2876,1.0,peri-urban,1,2,2,1,0.9977181973759269,0.45880042986834013,0.26595572056057115,Q4-High
u102557,0.2075471698113207,0.2581699346405229,0.3529411764705882,0.4285714285714285,0.6470588235294117,53,32.886792452830186,53,0.1,rural,1,2,1,2,0.7056589906908378,0.324692876431175,-0.27010391294830033,Q1-Low
u102583,0.25,-0.0494505494505493,0.6923076923076923,1.0,0.3076923076923077,40,28.324925,40,0.0333333333333333,urban,1,1,2,0,0.6229270315091211,0.22453691704495995,0.03949277620710922,Q4-High
u102618,0.2333333333333333,-0.3,0.4,1.0,0.6,30,27.399933333333333,30,0.0333333333333333,rural,2,1,2,2,0.469500244977952,0.6355838737720279,-0.2854335149789902,Q1-Low
u102694,0.25,0.467032967032967,0.4615384615384615,1.0,0.5384615384615384,40,25.474875,40,0.0333333333333333,rural,1,2,2,1,0.6322880940715335,0.15151404578090366,0.2739636192119215,Q2
u102744,0.2,0.0384615384615384,0.4615384615384615,1.0,0.5384615384615384,40,30.874875,40,0.0333333333333333,peri-urban,1,1,2,1,0.6072447233314319,0.257987285542402,-0.03618985881436441,Q2
u102771,0.1666666666666666,-0.1999999999999999,0.6,1.0,0.4,30,30.56653333333333,30,0.0333333333333333,urban,2,1,2,2,0.4701492537313433,0.4802039755971562,0.1113577691901559,Q3
u102777,0.2258064516129032,-0.0454545454545454,0.5,0.125,0.5,31,31.74190322580645,31,0.0666666666666666,rural,0,2,1,0,0.5639392454679079,0.47492656875807726,-0.2718589741117232,Q2
u10281,0.25,0.1253561253561252,0.6153846153846154,1.0,0.3846153846153846,80,27.8999625,80,0.1333333333333333,rural,0,1,3,1,0.7748652621264086,0.6391433783830215,0.07168216895345939,Q3
u102831,0.2181818181818181,-0.0545454545454545,0.6909090909090909,0.5263157894736842,0.3090909090909091,159,14.33329696969697,165,0.3333333333333333,rural,1,3,2,1,0.8628123468887801,0.20753864916139775,0.03084478744702,Q4-High
u102832,0.248046875,-0.1075097322975081,0.7683284457478006,0.5238095238095238,0.2316715542521994,1011,17.869052734375,1024,0.3666666666666666,urban,2,1,2,2,0.9817578772802653,0.5918839233803184,0.11838509392651902,Q4-High
u102834,0.2333333333333333,0.0999999999999999,0.4,1.0,0.6,30,23.633133333333333,30,0.0333333333333333,rural,1,2,2,1,0.469500244977952,0.4219542448270688,-0.08141235969698149,Q1-Low
u102840,0.2666666666666666,-0.5,0.9,1.0,0.0999999999999999,30,28.8998,30,0.0333333333333333,peri-urban,2,1,2,1,0.45079863091842554,0.4025995573497745,0.15258143260274423,Q4-High
u102889,0.2666666666666666,0.0999999999999999,0.2,1.0,0.8,30,3.2999666666666667,30,0.0333333333333333,urban,1,3,1,2,0.4701492537313433,0.34768973897114863,-0.09255033243709479,Q1-Low
u10291,0.2297297297297297,0.1269387755102041,0.6530612244897959,1.0,0.3469387755102041,146,27.24324324324324,148,0.1666666666666666,rural,2,1,2,1,0.850563449289564,0.625135189561761,0.17111277126818403,Q3
u102930,0.2264150943396226,0.0196078431372548,0.6470588235294118,0.25,0.3529411764705882,53,20.962169811320752,53,0.0666666666666666,rural,1,1,3,0,0.7056589906908378,0.1394182794470908,0.27777022504128435,Q3
u102993,0.131578947368421,-0.1923076923076923,0.5,1.0,0.5,38,23.78942105263158,38,0.0666666666666666,rural,1,1,1,3,0.6112199902008819,0.10525145916987037,0.34089613067553876,Q2
u103032,0.2666666666666666,-0.3999999999999999,0.7,1.0,0.3,30,23.133233333333333,30,0.0333333333333333,peri-urban,0,1,1,3,0.45079863091842554,0.6784849264159828,0.19572004514594687,Q4-High
u103054,0.2666666666666666,0.3,0.5,1.0,0.5,30,24.6332,30,0.0333333333333333,rural,1,2,3,2,0.469500244977952,0.4968065854222729,0.005171735300904491,Q2
u10319,0.2461752433936022,0.1557705718270572,0.6150627615062761,0.6333333333333333,0.3849372384937238,647,31.08056050069541,719,0.6333333333333333,peri-urban,0,1,2,2,0.9684826012549914,0.6404896552902578,0.043429534087312566,Q3
u103217,0.25,0.0625,0.5625,1.0,0.4375,48,23.5415625,48,0.0666666666666666,rural,1,1,3,3,0.6762616364527193,0.5499458896171707,0.02783852772225758,Q2
u103224,0.2,0.0999999999999999,0.5,1.0,0.5,30,27.233266666666665,30,0.0333333333333333,rural,0,1,2,1,0.469500244977952,0.2984813160623719,0.029112716012162605,Q2
u10330,0.236734693877551,0.0778380006022282,0.6172839506172839,0.4,0.3827160493827161,225,35.74278775510204,245,0.3333333333333333,urban,0,2,2,1,0.8967661691542289,0.6085351045435589,0.05115548067277948,Q3
