student_id,multimedia_engagement,performance_gain,prior_achievement,consistency,early_struggle,skill_coverage,session_duration_avg,total_interactions,peer_collaboration
u100013,0.26,-0.15808823529411764,0.6875,1.0,0.3125,50,16.0199,50,0.03333333333333333
u10011,0.24704336399474375,0.0484111916840434,0.7035573122529645,0.7391304347826086,0.2964426877470355,761,26.82384888304862,761,0.5666666666666667
u10017,0.2777777777777778,0.16666666666666674,0.6666666666666666,1.0,0.33333333333333337,18,25.77777777777778,18,0.03333333333333333
u100204,0.22602739726027396,0.09512678971882005,0.5617647058823529,1.0,0.43823529411764706,940,16.997025440313113,1022,0.36666666666666664
u100212,0.26666666666666666,-0.09999999999999998,0.5,1.0,0.5,30,25.5332,30,0.03333333333333333
u100303,0.2,0.19999999999999996,0.5,1.0,0.5,30,15.0999,30,0.03333333333333333
u100319,0.23,0.24688057040998213,0.6060606060606061,0.25,0.3939393939393939,99,22.79994,100,0.23333333333333334
u100369,0.2,-0.09999999999999998,0.3,1.0,0.7,30,19.799966666666666,30,0.03333333333333333
u100434,0.23333333333333334,-0.2,0.5,0.2857142857142857,0.5,30,26.499866666666666,30,0.06666666666666667
u100520,0.25806451612903225,0.06428571428571428,0.65,0.16,0.35,62,20.0643064516129,62,0.13333333333333333
u100579,0.26666666666666666,0.19999999999999996,0.5,1.0,0.5,30,28.266433333333335,30,0.03333333333333333
u100645,0.2276923076923077,-0.07232462877624168,0.6944444444444444,0.9285714285714286,0.3055555555555556,547,21.53538,650,0.8666666666666667
u100665,0.2510548523206751,0.05063291139240511,0.6582278481012658,0.6333333333333333,0.3417721518987342,436,31.6835358649789,474,0.6333333333333333
u100675,0.12,0.09558823529411764,0.375,1.0,0.625,50,22.239939999999997,50,0.03333333333333333
u100733,0.26666666666666666,0.0,0.8,1.0,0.19999999999999996,30,24.466533333333334,30,0.03333333333333333
u100735,0.26666666666666666,0.3,0.3,1.0,0.7,30,32.099866666666664,30,0.03333333333333333
