student_id,multimedia_engagement,performance_gain,prior_achievement,consistency,early_struggle,skill_coverage,session_duration_avg,total_interactions,peer_collaboration
u100001,0.45454545454545453,-0.27272727272727276,0.7272727272727273,1.0,0.2727272727272727,33,16696.939393939392,33,0.03333333333333333
u100092,0.4883720930232558,0.033333333333333326,0.5,1.0,0.5,43,28371.976744186046,43,0.03333333333333333
u100194,0.5,-0.19999999999999996,0.6,1.0,0.4,30,12699.866666666667,30,0.03333333333333333
u100306,0.4666666666666667,0.09999999999999998,0.6,1.0,0.4,30,30099.933333333334,30,0.03333333333333333
u100351,0.5,-0.7000000000000001,0.8,1.0,0.19999999999999996,30,22333.133333333335,30,0.03333333333333333
u100384,0.45,-0.2472527472527473,0.46153846153846156,1.0,0.5384615384615384,40,27999.9,40,0.03333333333333333
u100402,0.5,0.013833992094861691,0.6818181818181818,0.16666666666666666,0.31818181818181823,66,23205.867647058825,68,0.16666666666666666
u100496,0.45571428571428574,-0.007318146803125258,0.7124463519313304,0.35714285714285715,0.28755364806866957,670,18951.39285714286,700,0.3333333333333333
u100597,0.5,0.48550724637681164,0.34782608695652173,0.5555555555555556,0.6521739130434783,70,21971.342857142856,70,0.16666666666666666
u100616,0.43333333333333335,0.2,0.2,1.0,0.8,30,21199.833333333332,30,0.03333333333333333
u100662,0.47651006711409394,0.10897959183673478,0.5510204081632653,0.22727272727272727,0.44897959183673475,135,23966.40268456376,149,0.16666666666666666
u100769,0.4,0.33333333333333337,0.6666666666666666,1.0,0.33333333333333337,10,23799.8,10,0.03333333333333333
u100803,0.5,0.0,0.4,1.0,0.6,30,42633.26666666667,30,0.03333333333333333
u100839,0.5,0.4522058823529411,0.3125,1.0,0.6875,50,24519.96,50,0.03333333333333333
u100855,0.48484848484848486,0.045454545454545414,0.5909090909090909,0.19047619047619047,0.40909090909090906,66,30802.939393939392,66,0.13333333333333333
u100857,0.4,-0.19999999999999996,0.6,1.0,0.4,30,40266.63333333333,30,0.03333333333333333
u100862,0.4878048780487805,0.543956043956044,0.38461538461538464,0.5,0.6153846153846154,41,32048.756097560974,41,0.06666666666666667
u100871,0.26666666666666666,0.09999999999999998,0.2,1.0,0.8,30,12133.3,30,0.03333333333333333
u100887,0.5,0.18681318681318676,0.38461538461538464,1.0,0.6153846153846154,36,28574.925,40,0.03333333333333333
u101001,0.4811320754716981,0.04140986132511559,0.6704545454545454,0.5,0.3295454545454546,520,22613.122641509435,530,0.43333333333333335
u101008,0.3,-0.16666666666666663,0.6666666666666666,1.0,0.33333333333333337,10,26599.9,10,0.03333333333333333
u10103,0.4793577981651376,-0.011714690599905486,0.7103448275862069,0.5333333333333333,0.2896551724137931,432,36786.6743119266,436,0.5333333333333333
u101061,0.4777777777777778,0.39999999999999997,0.3333333333333333,0.45454545454545453,0.6666666666666667,89,24322.244444444445,90,0.16666666666666666
u101203,0.5,-0.02183908045977012,0.6551724137931034,0.16666666666666666,0.3448275862068966,88,17374.954545454544,88,0.13333333333333333
u101223,0.4666666666666667,0.10000000000000009,0.7,1.0,0.30000000000000004,30,30066.533333333333,30,0.03333333333333333
u101266,0.43333333333333335,0.19999999999999996,0.5,0.6666666666666666,0.5,30,38199.86666666667,30,0.06666666666666667
u101272,0.5,-0.3,0.6,1.0,0.4,30,25533.2,30,0.03333333333333333
u101301,0.4685802948021722,0.0492220957337236,0.8344988344988346,0.5333333333333333,0.16550116550116545,1252,21289.704422032584,1289,0.5333333333333333
u101303,0.5,0.3351648351648352,0.3076923076923077,1.0,0.6923076923076923,40,39624.95,40,0.03333333333333333
u101437,0.4647887323943662,0.05978260869565222,0.5652173913043478,0.15384615384615385,0.4347826086956522,70,20450.647887323943,71,0.06666666666666667
u101474,0.5,0.0,0.4,1.0,0.6,30,28166.566666666666,30,0.03333333333333333
u101613,0.46511627906976744,-0.1347809076682316,0.704225352112676,0.45454545454545453,0.295774647887324,179,24609.293023255814,215,0.3333333333333333
u101652,0.46153846153846156,0.09999999999999998,0.5,1.0,0.5,13,19769.23076923077,13,0.03333333333333333
u101823,0.46153846153846156,-0.04999999999999999,0.25,1.0,0.75,13,17461.53846153846,13,0.03333333333333333
u101828,0.4666666666666667,-0.20000000000000007,0.8,1.0,0.19999999999999996,30,26866.633333333335,30,0.03333333333333333
